LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0061,Chicopee,7281.2,601.3,7882.5,703.8834711,977.3653491,6409.231918,1310.405701,276.2236678,325.2794635,319.7681371,1809.513525,1270.558641,2525.287451,15927.51733,9618.274236,15811.49947,2020-21
0063,Clarksburg,194,39.4,233.4,907.7735052,1057.401443,5300.881134,1387.716237,371.724433,135.6830928,158.1301031,1108.941546,1677.075567,2921.235515,15026.56258,8411.536443,14624.49293,2020-21
0064,Clinton,1905.9,328.1,2234,432.1895168,720.2749357,5603.098798,1628.851592,81.8731308,335.9725064,454.7636287,1123.034262,1369.041398,2287.999895,14037.09966,8824.834593,14843.01261,2020-21
0065,Cohasset,1505.9,34.4,1540.3,635.9048609,1307.492669,6928.556743,1494.693705,86.67852447,284.5059234,689.5552427,1213.686905,1496.007461,3237.365556,17374.44759,10791.48281,18386.38747,2020-21
0067,Concord,2105.4,31,2136.4,461.1940819,1483.606099,8901.469189,3048.989418,230.4683196,492.9679111,591.7893132,1502.543175,1480.875078,2268.617365,20462.51995,14749.29025,21498.30533,2020-21
0068,Conway,133.7,8.2,141.9,637.8404637,1429.321242,7229.335228,4673.929843,411.4175019,755.7852655,631.2623785,2308.998579,1779.282797,3866.32199,23723.49529,15131.05146,22898.01494,2020-21
0071,Danvers,3412.7,125.5,3538.2,546.2354587,1024.369268,6778.994638,1479.128256,414.5511032,317.2007501,640.4078882,1271.417148,1359.297917,3419.902423,17251.50485,10654.6519,18384.98321,2020-21
0072,Dartmouth,3591.4,84.7,3676.1,454.9454363,1046.439859,6262.841769,1004.911244,224.3783316,311.6853623,588.2914462,1366.697931,979.3346049,1693.009169,13932.53515,9438.548012,14766.00852,2020-21
0073,Dedham,2745.3,98.4,2843.7,753.6778968,1328.016443,7959.432211,1762.334452,435.3226605,456.5864095,899.698237,1566.212072,1760.611893,3034.937981,19956.83026,12841.39041,21269.03743,2020-21
0074,Deerfield,390.3,32.5,422.8,514.5781194,1143.168716,6583.829003,2807.291545,102.6591852,583.9059954,371.0591596,1303.166795,1256.421752,2775.409506,17441.48978,11591.9136,16902.58198,2020-21
0077,Douglas,1284.6,85.5,1370.1,545.7811848,845.9706913,5507.558734,1708.426428,38.3257045,308.1866807,500.6101744,1434.059404,1398.979752,2150.584532,14438.48329,8909.078414,15701.12552,2020-21
0078,Dover,493.7,less than 6,498.7,1229.817703,1218.707717,7613.072716,2096.011748,125.1205185,365.4709338,369.1472554,829.7346567,1694.158396,3864.253595,19405.49524,11787.53089,24311.02867,2020-21
0079,Dracut,3709.6,369.4,4079,338.8333486,528.2298226,4360.371035,892.4875162,29.92859608,188.1819172,291.9161015,1252.181084,1039.683677,2460.179076,11381.99217,6291.114988,12216.23277,2020-21
0082,Duxbury,2969.9,62.6,3032.5,552.24452,903.7277349,6596.272938,888.336981,65.56247685,455.4455201,545.6072595,1913.855685,1318.818815,2698.583454,15938.45539,9454.952911,16663.01126,2020-21
0083,East Bridgewater,2216,93.3,2309.3,641.3677798,693.1854693,5280.162906,973.5198556,42.62274368,292.8610108,703.2838448,1167.175542,1104.924188,1853.810018,12752.91336,7985.63583,13438.53722,2020-21
0085,Eastham,198.4,19.9,218.3,1000.226815,1570.992944,9811.184476,3096.532258,60.21673387,490.0050403,495.6653226,1789.712702,1638.034274,3748.74496,23701.31552,15524.59677,22402.03848,2020-21
0086,Easthampton,1542.5,326.2,1868.7,562.0601815,889.4284084,5285.201128,1182.21589,102.1967391,585.6800259,387.047222,1129.315598,947.9758055,2926.329517,13997.45052,8431.769413,14704.88108,2020-21
0087,East Longmeadow,2595.1,91.3,2686.4,697.5973951,705.4136642,6232.409541,1660.835806,267.3590613,211.258911,570.3826442,1640.740241,968.9765327,2675.874533,15630.84833,9647.659628,16521.71884,2020-21
0088,Easton,3594.9,92.8,3687.7,436.7720215,746.8760661,5978.088895,1407.765351,130.8997413,394.5937773,572.4100865,1078.356441,1074.189833,2071.546471,13891.49868,9230.633917,14798.12636,2020-21
0089,Edgartown,403.4,58.5,461.9,623.7432325,1892.905305,10252.26056,3101.385721,85.81308875,626.1502231,697.2558255,1700.237977,1961.633614,5956.802652,26898.1882,16655.77072,25749.0087,2020-21
0091,Erving,133.2,96.5,229.7,1671.436411,1420.638288,10590.64174,5978.715841,511.7529279,492.3323574,428.9826577,2314.684685,2441.794294,7872.43994,33723.41914,19423.06381,26346.39717,2020-21
0093,Everett,7143.3,788.8,7932.1,414.8964764,1324.615234,6787.169795,965.9462713,229.9323842,371.5296852,283.2244201,1049.989081,987.8169753,2266.263352,14681.38367,9962.41779,15602.88499,2020-21
0094,Fairhaven,2040,63.5,2103.5,576.6606275,816.5182206,5192.400456,706.2159755,83.16517647,366.407348,546.4436667,1069.220466,1082.878662,2149.816676,12589.72727,7711.150843,13320.33282,2020-21
0095,Fall River,10371.6,2069.2,12440.8,501.9734178,1365.675113,5513.757376,1063.983667,56.54180647,501.1738787,646.7152609,1564.829052,1287.477824,3246.558776,15748.68617,9147.847102,15917.19118,2020-21
0096,Falmouth,3246.2,228.9,3475.1,451.7072269,1365.224447,7341.621896,1340.883775,21.15673711,743.1720627,658.9935925,1418.304698,1862.155751,3817.711192,19020.93138,11471.05251,19540.03754,2020-21
0097,Fitchburg,5315.3,739.5,6054.8,473.2737569,827.0018625,5516.758817,1050.005268,347.7523376,470.1554174,440.786409,1649.008146,1129.029218,2740.51474,14644.28597,8652.460111,15516.07142,2020-21
0098,Florida,94.8,17.5,112.3,655.7759494,1566.764557,7142.419515,2587.161392,82.62014768,560.8221519,338.778481,1312.359705,1873.82711,3244.426266,19364.95527,12278.56624,18307.80579,2020-21
0099,Foxborough,2552.2,152.6,2704.8,553.2170872,1272.273885,7314.460665,1221.295004,105.257327,220.9878262,652.1370073,1500.628473,2029.092054,3214.449577,18083.79891,10786.41172,19126.01321,2020-21
0100,Framingham,9202.1,718.2,9920.3,877.8308212,1406.515469,7304.900512,1535.641104,93.509525,232.2966497,605.2612991,1927.053825,1136.814205,3222.164832,18341.98824,11178.12456,19606.64536,2020-21
0101,Franklin,5081.8,489.3,5571.1,331.9996852,1097.465461,6217.787317,1259.283097,337.0233539,230.6320221,496.9731198,1310.223173,1268.86123,2147.399347,14697.64781,9639.164371,15850.35657,2020-21
0103,Gardner,2332.7,293.3,2626,429.5040082,776.9113045,5398.295516,1287.008188,64.09439705,401.7174519,573.7548935,1352.287881,1037.744974,2792.674583,14113.9932,8501.781751,13749.61874,2020-21
0105,Georgetown,1328.2,55.1,1383.3,547.7241756,874.1766752,6154.071382,1310.977925,142.8312528,491.9687773,391.1309215,1414.629764,1212.213228,2447.07325,14986.79735,9365.156934,15812.14464,2020-21
