district_name,district_code,churn_intake_enroll,percent_churn,percent_intake,stability_enroll,percent_stability,year
Holland,01350000,245,5.7,3.3,239,96.7,2016-17
Holliston,01360000,"2,936",2.7,1.7,"2,890",98.9,2016-17
Holyoke,01370000,"5,940",19.4,9.0,"5,506",88.1,2016-17
Holyoke Community Charter (District),04530000,726,8.0,5.0,705,94.8,2016-17
Hopedale,01380000,"1,176",4.3,2.8,"1,147",98.2,2016-17
Hopkinton,01390000,"3,516",2.7,1.8,"3,467",98.6,2016-17
Hudson,01410000,"2,740",7.7,4.2,"2,654",95.4,2016-17
Hull,01420000,976,10.7,7.4,934,93.4,2016-17
Innovation Academy Charter (District),04350000,798,1.8,0.8,794,98.7,2016-17
Ipswich,01440000,"1,824",4.8,3.2,"1,784",97.3,2016-17
King Philip,06900000,"2,113",2.4,0.9,"2,096",98.4,2016-17
Kingston,01450000,"1,066",7.1,4.5,"1,026",96.5,2016-17
KIPP Academy Boston Charter School (District),04630000,519,8.1,5.8,511,93.3,2016-17
KIPP Academy Lynn Charter (District),04290000,"1,218",6.2,3.6,"1,206",94.8,2016-17
Lanesborough,01480000,210,4.8,1.9,206,97.1,2016-17
Lawrence,01490000,"15,511",22.5,13.4,"14,413",85.0,2016-17
Lawrence Family Development Charter (District),04540000,731,4.1,1.8,721,97.2,2016-17
Lee,01500000,711,8.0,4.4,687,95.2,2016-17
Leicester,01510000,"1,625",7.1,4.6,"1,576",95.7,2016-17
Lenox,01520000,780,3.7,2.1,766,98.0,2016-17
Leominster,01530000,"6,344",11.8,7.0,"6,084",93.4,2016-17
Leverett,01540000,137,7.3,4.4,136,93.4,2016-17
Lexington,01550000,"7,266",4.8,3.4,"7,090",97.9,2016-17
Lincoln,01570000,"1,305",18.3,9.0,"1,205",88.5,2016-17
Lincoln-Sudbury,06950000,"1,581",1.8,1.0,"1,568",99.0,2016-17
Littleton,01580000,"1,675",3.2,2.0,"1,648",98.4,2016-17
Longmeadow,01590000,"2,885",3.2,2.1,"2,842",98.3,2016-17
Lowell,01600000,"15,326",13.8,8.2,"14,459",92.6,2016-17
Lowell Community Charter Public (District),04560000,823,3.4,0.7,819,97.1,2016-17
Lowell Middlesex Academy Charter (District),04580000,156,52.6,21.8,128,57.8,2016-17
Ludlow,01610000,"2,751",6.0,3.1,"2,681",96.5,2016-17
Lunenburg,01620000,"1,670",6.1,3.6,"1,622",96.7,2016-17
Lynn,01630000,"16,382",15.1,9.3,"15,364",91.7,2016-17
Lynnfield,01640000,"2,241",2.5,2.1,"2,208",99.0,2016-17
Ma Academy for Math and Science,04680000,97,0.0,0.0,97,100.0,2016-17
Malden,01650000,"7,195",20.1,14.4,"6,691",86.1,2016-17
Manchester Essex Regional,06980000,"1,422",2.5,1.3,"1,405",98.7,2016-17
Mansfield,01670000,"4,045",3.7,1.8,"3,989",97.7,2016-17
Marblehead,01680000,"3,220",4.1,3.0,"3,150",98.1,2016-17
Marblehead Community Charter Public (District),04640000,235,4.7,2.6,231,97.0,2016-17
Marion,01690000,472,5.5,3.2,459,97.2,2016-17
Marlborough,01700000,"4,876",13.9,8.7,"4,546",92.9,2016-17
Marshfield,01710000,"4,338",4.0,2.6,"4,256",98.0,2016-17
Martha's Vineyard,07000000,691,10.0,6.2,665,93.5,2016-17
Martha's Vineyard Charter (District),04660000,188,13.8,8.0,175,92.6,2016-17
Martin Luther King Jr. Charter School of Excellence (District),04920000,373,7.0,2.9,371,93.5,2016-17
Masconomet,07050000,"1,849",1.5,0.7,"1,839",99.0,2016-17
Mashpee,01720000,"1,713",7.1,4.7,"1,646",96.7,2016-17
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,854,41.6,25.4,700,71.3,2016-17
MATCH Charter Public School (District),04690000,"1,184",9.5,5.7,"1,150",93.1,2016-17
Mattapoisett,01730000,457,4.4,2.8,448,97.5,2016-17
Maynard,01740000,"1,480",6.2,3.6,"1,440",96.4,2016-17
Medfield,01750000,"2,653",4.6,4.0,"2,609",97.0,2016-17
Medford,01760000,"4,604",9.3,5.3,"4,385",95.5,2016-17
Medway,01770000,"2,357",2.8,1.6,"2,325",98.6,2016-17
Melrose,01780000,"3,878",4.5,2.4,"3,811",97.2,2016-17
Mendon-Upton,07100000,"2,267",4.1,2.3,"2,243",97.1,2016-17
Methuen,01810000,"7,304",11.3,7.1,"6,918",94.3,2016-17
Middleborough,01820000,"2,993",6.7,4.0,"2,910",96.2,2016-17
Middleton,01840000,716,3.5,2.2,700,98.7,2016-17
Milford,01850000,"4,402",9.9,6.8,"4,204",94.6,2016-17
Millbury,01860000,"1,801",8.9,6.4,"1,738",94.4,2016-17
Millis,01870000,"1,353",5.0,3.8,"1,326",97.0,2016-17
Milton,01890000,"4,220",3.6,2.0,"4,161",97.9,2016-17
Minuteman Regional Vocational Technical,08300000,591,6.6,2.0,585,94.4,2016-17
Mohawk Trail,07170000,"1,000",7.7,3.2,976,94.8,2016-17
Monomoy Regional School District,07120000,"1,939",7.1,4.0,"1,885",95.6,2016-17
Monson,01910000,"1,026",8.8,4.9,984,95.1,2016-17
Montachusett Regional Vocational Technical,08320000,"1,437",4.0,1.6,"1,434",96.2,2016-17
Mount Greylock,07150000,571,5.6,1.4,563,95.7,2016-17
Mystic Valley Regional Charter (District),04700000,"1,507",3.3,1.5,"1,491",97.7,2016-17
Nahant,01960000,153,14.4,13.1,142,92.3,2016-17
Nantucket,01970000,"1,667",9.4,5.0,"1,597",94.6,2016-17
Narragansett,07200000,"1,446",7.1,4.6,"1,401",95.9,2016-17
Nashoba,07250000,"3,496",5.7,4.1,"3,422",96.3,2016-17
Nashoba Valley Regional Vocational Technical,08520000,747,6.0,2.4,737,95.3,2016-17
Natick,01980000,"5,595",6.1,4.6,"5,478",95.9,2016-17
Nauset,06600000,"1,494",4.8,1.9,"1,475",96.4,2016-17
Needham,01990000,"5,674",2.7,1.7,"5,593",98.8,2016-17
Neighborhood House Charter (District),04440000,480,9.8,7.7,457,94.7,2016-17
New Bedford,02010000,"13,746",17.4,10.4,"12,782",90.9,2016-17
New Heights Charter School of Brockton (District),35130000,330,24.8,20.0,316,78.5,2016-17
New Salem-Wendell,07280000,170,1.2,1.2,169,99.4,2016-17
Newburyport,02040000,"2,349",4.3,2.2,"2,310",97.3,2016-17
Newton,02070000,"13,217",5.5,3.5,"12,877",97.1,2016-17
Norfolk,02080000,957,2.9,2.1,940,98.8,2016-17
Norfolk County Agricultural,09150000,534,1.3,0.0,534,98.7,2016-17
North Adams,02090000,"1,563",13.6,7.6,"1,482",91.6,2016-17
North Andover,02110000,"4,917",5.3,3.9,"4,778",97.5,2016-17
North Attleborough,02120000,"4,540",6.0,3.6,"4,403",97.0,2016-17
North Brookfield,02150000,589,10.7,4.9,570,92.3,2016-17
North Middlesex,07350000,"3,225",8.7,5.2,"3,134",94.3,2016-17
North Reading,02170000,"2,527",2.6,1.5,"2,497",98.6,2016-17
Northampton,02100000,"2,780",7.4,3.9,"2,689",95.8,2016-17
Northampton-Smith Vocational Agricultural,04060000,495,5.3,2.8,488,96.1,2016-17
Northboro-Southboro,07300000,"1,468",3.3,1.8,"1,446",98.1,2016-17
Northborough,02130000,"1,799",5.8,3.9,"1,750",96.9,2016-17
Northbridge,02140000,"2,349",7.5,4.6,"2,271",95.6,2016-17
Northeast Metropolitan Regional Vocational Technical,08530000,"1,276",4.3,1.3,"1,266",96.4,2016-17
Northern Berkshire Regional Vocational Technical,08510000,493,4.7,2.0,485,96.9,2016-17
Norton,02180000,"2,565",4.2,2.5,"2,508",98.0,2016-17
Norwell,02190000,"2,231",2.9,2.2,"2,196",98.6,2016-17
Norwood,02200000,"3,573",8.7,5.3,"3,430",95.2,2016-17
Oak Bluffs,02210000,473,11.2,9.5,439,95.7,2016-17
Old Colony Regional Vocational Technical,08550000,548,2.9,0.9,546,97.4,2016-17
Old Rochester,07400000,"1,267",4.3,1.7,"1,251",96.9,2016-17
Orange,02230000,651,13.1,8.8,629,90.0,2016-17
Orleans,02240000,224,6.7,4.5,215,97.2,2016-17
Oxford,02260000,"1,831",8.8,5.3,"1,756",95.7,2016-17
Palmer,02270000,"1,516",12.7,8.5,"1,445",91.6,2016-17
Pathfinder Regional Vocational Technical,08600000,628,4.9,1.1,624,95.7,2016-17
Paulo Freire Social Justice Charter School (District),35010000,381,25.2,8.7,351,81.2,2016-17
Peabody,02290000,"6,244",8.5,5.2,"5,999",95.6,2016-17
Pelham,02300000,136,10.3,2.9,134,91.0,2016-17
Pembroke,02310000,"3,069",4.5,2.1,"3,013",97.3,2016-17
Pentucket,07450000,"2,559",6.9,5.1,"2,502",95.6,2016-17
Petersham,02340000,128,3.1,3.1,124,100.0,2016-17
Phoenix Academy Public Charter High School Springfield (District),35080000,248,60.1,39.1,198,50.0,2016-17
Phoenix Charter Academy (District),04930000,253,54.5,41.9,182,63.2,2016-17
Pioneer Charter School of Science (District),04940000,564,12.4,6.6,552,89.5,2016-17
Pioneer Charter School of Science II (PCSS-II) (District),35060000,353,15.6,6.8,340,87.6,2016-17
Pioneer Valley,07500000,885,7.8,3.6,869,94.2,2016-17
Pioneer Valley Chinese Immersion Charter (District),04970000,478,6.5,2.7,474,94.3,2016-17
Pioneer Valley Performing Arts Charter Public (District),04790000,417,8.4,6.2,402,95.0,2016-17
Pittsfield,02360000,"5,698",9.0,4.9,"5,509",95.0,2016-17
Plainville,02380000,736,5.7,2.6,718,96.7,2016-17
Plymouth,02390000,"7,849",6.7,3.6,"7,623",96.5,2016-17
Plympton,02400000,214,3.3,2.3,209,99.0,2016-17
Prospect Hill Academy Charter (District),04870000,"1,172",5.3,3.1,"1,142",97.2,2016-17
Provincetown,02420000,142,16.2,9.9,129,92.2,2016-17
Quabbin,07530000,"2,347",7.5,4.0,"2,275",95.6,2016-17
Quaboag Regional,07780000,"1,472",9.4,5.7,"1,407",95.0,2016-17
Quincy,02430000,"9,737",11.9,8.2,"9,247",93.5,2016-17
Ralph C Mahar,07550000,807,11.3,4.5,783,91.4,2016-17
Randolph,02440000,"3,084",17.5,12.7,"2,829",90.4,2016-17
Reading,02460000,"4,375",3.7,2.5,"4,328",97.4,2016-17
Revere,02480000,"7,990",14.6,9.5,"7,507",91.4,2016-17
Richmond,02490000,173,3.5,0.6,173,96.5,2016-17
Rising Tide Charter Public (District),04830000,679,5.9,2.2,669,95.5,2016-17
River Valley Charter (District),04820000,292,2.7,1.4,289,98.3,2016-17
Rochester,02500000,480,6.7,3.5,466,96.1,2016-17
Rockland,02510000,"2,418",9.2,4.3,"2,345",93.8,2016-17
Rockport,02520000,949,3.3,2.7,928,98.9,2016-17
Rowe,02530000,66,13.6,10.6,59,96.6,2016-17
Roxbury Preparatory Charter (District),04840000,"1,400",18.1,8.8,"1,356",84.6,2016-17
Sabis International Charter (District),04410000,"1,598",4.8,3.3,"1,579",96.3,2016-17
Salem,02580000,"4,142",15.5,8.0,"3,883",91.1,2016-17
Salem Academy Charter (District),04850000,457,5.3,1.8,457,94.7,2016-17
Sandwich,02610000,"2,785",4.8,2.3,"2,736",96.9,2016-17
Saugus,02620000,"2,762",10.0,5.8,"2,638",94.3,2016-17
Savoy,02630000,51,17.6,17.6,49,85.7,2016-17
Scituate,02640000,"3,050",3.5,2.2,"3,005",98.0,2016-17
Seekonk,02650000,"2,006",4.2,2.7,"1,964",97.9,2016-17
Seven Hills Charter Public (District),04860000,695,8.3,3.7,681,93.5,2016-17
Sharon,02660000,"3,515",3.6,2.7,"3,454",98.4,2016-17
Shawsheen Valley Regional Vocational Technical,08710000,"1,343",2.4,0.4,"1,339",97.9,2016-17
Sherborn,02690000,443,3.6,3.2,430,99.3,2016-17
Shrewsbury,02710000,"6,407",7.9,5.6,"6,200",95.2,2016-17
Shutesbury,02720000,131,15.3,9.2,121,91.7,2016-17
Silver Hill Horace Mann Charter (District),04770000,575,4.2,1.2,569,96.8,2016-17
Silver Lake,07600000,"1,927",5.9,4.1,"1,853",97.9,2016-17
Sizer School: A North Central Charter Essential (District),04740000,380,9.5,1.6,374,92.0,2016-17
Somerset,02730000,"1,866",6.4,3.8,"1,805",97.0,2016-17
Somerset Berkley Regional School District,07630000,"1,021",4.9,2.1,"1,010",96.1,2016-17
Somerville,02740000,"5,231",14.7,8.8,"4,983",90.4,2016-17
South Hadley,02780000,"1,937",7.0,5.5,"1,875",96.1,2016-17
South Middlesex Regional Vocational Technical,08290000,735,7.8,3.5,718,94.4,2016-17
South Shore Charter Public (District),04880000,767,3.9,2.5,763,96.6,2016-17
South Shore Regional Vocational Technical,08730000,639,3.6,0.9,638,96.6,2016-17
Southampton,02750000,532,4.1,2.8,520,98.1,2016-17
Southborough,02760000,"1,351",4.5,3.4,"1,308",98.6,2016-17
Southbridge,02770000,"2,291",17.5,10.2,"2,137",88.6,2016-17
Southeastern Regional Vocational Technical,08720000,"1,436",2.9,0.7,"1,428",97.7,2016-17
Southern Berkshire,07650000,751,8.4,3.6,732,94.3,2016-17
Southern Worcester County Regional Vocational Technical,08760000,"1,121",3.9,1.5,"1,118",96.3,2016-17
Southwick-Tolland-Granville Regional School District,07660000,"1,602",6.5,3.5,"1,552",96.5,2016-17
Spencer-E Brookfield,07670000,"1,563",14.3,10.7,"1,420",94.5,2016-17
Springfield,02810000,"27,865",20.8,12.4,"26,005",87.6,2016-17
Springfield Preparatory Charter School (District),35100000,167,6.0,1.8,164,95.7,2016-17
Stoneham,02840000,"2,432",6.5,4.7,"2,361",96.4,2016-17
Stoughton,02850000,"3,762",10.6,7.4,"3,575",94.3,2016-17
Sturbridge,02870000,945,9.2,7.3,917,93.6,2016-17
Sturgis Charter Public (District),04890000,818,4.4,2.6,810,96.5,2016-17
Sudbury,02880000,"2,846",2.9,1.8,"2,804",98.6,2016-17
Sunderland,02890000,268,9.3,6.3,257,94.6,2016-17
Sutton,02900000,"1,471",3.3,1.8,"1,448",98.2,2016-17
Swampscott,02910000,"2,310",5.0,2.7,"2,268",97.0,2016-17
Swansea,02920000,"2,122",5.6,3.5,"2,064",97.1,2016-17
Tantasqua,07700000,"1,876",5.9,2.4,"1,849",96.1,2016-17
Taunton,02930000,"8,479",10.6,6.2,"8,049",95.4,2016-17
TEC Connections Academy Commonwealth Virtual School District,39020000,"1,802",61.0,45.1,"1,201",58.5,2016-17
Tewksbury,02950000,"3,649",5.6,3.0,"3,564",96.7,2016-17
Tisbury,02960000,349,14.9,10.3,323,92.0,2016-17
Topsfield,02980000,635,2.4,1.7,626,99.0,2016-17
Tri-County Regional Vocational Technical,08780000,"1,029",3.7,0.3,"1,029",96.3,2016-17
Triton,07730000,"2,650",8.0,5.7,"2,544",96.0,2016-17
Truro,03000000,120,6.7,2.5,117,95.7,2016-17
Tyngsborough,03010000,"1,767",5.6,4.2,"1,712",97.4,2016-17
UP Academy Charter School of Boston (District),04800000,481,13.9,7.7,473,87.5,2016-17
UP Academy Charter School of Dorchester (District),35050000,776,10.7,7.6,754,91.9,2016-17
Up-Island Regional,07740000,408,11.0,7.1,396,91.7,2016-17
Upper Cape Cod Regional Vocational Technical,08790000,717,3.1,0.4,715,97.2,2016-17
Uxbridge,03040000,"1,912",6.8,4.8,"1,838",97.0,2016-17
Veritas Preparatory Charter School (District),04980000,331,15.1,9.1,319,88.1,2016-17
Wachusett,07750000,"7,502",5.4,3.2,"7,351",97.4,2016-17
Wakefield,03050000,"3,585",3.3,1.9,"3,532",98.2,2016-17
Wales,03060000,173,11.0,6.9,166,92.8,2016-17
Walpole,03070000,"3,916",3.2,2.0,"3,856",98.5,2016-17
Waltham,03080000,"5,812",12.4,8.4,"5,484",93.6,2016-17
Ware,03090000,"1,326",15.8,10.6,"1,238",90.1,2016-17
Wareham,03100000,"2,608",12.6,7.7,"2,479",92.1,2016-17
Watertown,03140000,"2,739",10.1,5.3,"2,647",93.6,2016-17
Wayland,03150000,"2,694",2.7,1.7,"2,651",98.8,2016-17
Webster,03160000,"2,010",14.7,7.9,"1,884",91.0,2016-17
Wellesley,03170000,"5,105",4.2,2.7,"5,032",97.4,2016-17
Wellfleet,03180000,126,8.7,5.6,120,95.8,2016-17
West Boylston,03220000,938,6.2,3.2,915,96.2,2016-17
West Bridgewater,03230000,"1,321",4.8,2.8,"1,293",97.3,2016-17
West Springfield,03320000,"4,316",11.0,7.0,"4,124",93.6,2016-17
Westborough,03210000,"3,979",7.8,4.9,"3,817",96.2,2016-17
Westfield,03250000,"5,837",9.4,5.0,"5,602",95.3,2016-17
Westford,03260000,"5,218",4.3,2.9,"5,129",97.4,2016-17
Westhampton,03270000,138,9.4,7.2,130,96.2,2016-17
Weston,03300000,"2,193",2.8,2.0,"2,156",98.8,2016-17
Westport,03310000,"1,480",4.3,2.3,"1,458",97.2,2016-17
Westwood,03350000,"3,198",2.7,1.6,"3,165",98.6,2016-17
Weymouth,03360000,"6,540",11.2,7.5,"6,315",92.2,2016-17
Whately,03370000,135,5.2,4.4,129,99.2,2016-17
Whitman-Hanson,07800000,"4,098",5.5,3.8,"4,011",96.8,2016-17
Whittier Regional Vocational Technical,08850000,"1,329",3.2,1.2,"1,315",97.9,2016-17
Williamsburg,03400000,164,6.1,3.7,160,96.3,2016-17
Williamstown,03410000,463,6.9,3.0,450,95.8,2016-17
Wilmington,03420000,"3,468",4.1,2.3,"3,403",97.9,2016-17
Winchendon,03430000,"1,366",13.2,7.2,"1,282",92.8,2016-17
Winchester,03440000,"4,672",2.5,1.4,"4,624",98.5,2016-17
Winthrop,03460000,"2,039",7.2,4.8,"1,973",95.9,2016-17
Woburn,03470000,"4,845",8.9,5.1,"4,648",95.3,2016-17
Worcester,03480000,"27,583",17.8,9.8,"25,778",90.4,2016-17
Worthington,03490000,67,22.4,9.0,61,85.2,2016-17
Wrentham,03500000,"1,059",9.0,7.9,"1,033",93.3,2016-17
Abby Kelley Foster Charter Public (District),04450000,"1,436",3.2,2.0,"1,429",97.3,2015-16
Abington,00010000,"2,031",8.8,5.5,"1,951",94.9,2015-16
Academy Of the Pacific Rim Charter Public (District),04120000,527,4.7,3.6,525,95.6,2015-16
Acton-Boxborough,06000000,"5,747",4.2,2.4,"5,633",97.7,2015-16
Acushnet,00030000,994,4.8,3.4,974,97.1,2015-16
Adams-Cheshire,06030000,"1,448",12.4,6.1,"1,396",91.0,2015-16
Advanced Math and Science Academy Charter (District),04300000,990,0.9,0.0,990,99.1,2015-16
Agawam,00050000,"4,100",8.2,4.1,"3,980",94.7,2015-16
Alma del Mar Charter School (District),04090000,290,6.2,4.1,284,95.8,2015-16
Amesbury,00070000,"2,357",8.2,4.3,"2,285",94.9,2015-16
Amherst,00080000,"1,264",15.3,7.8,"1,192",90.5,2015-16
Amherst-Pelham,06050000,"1,429",7.9,4.1,"1,388",94.8,2015-16
Andover,00090000,"6,234",5.1,3.1,"6,093",97.2,2015-16
Argosy Collegiate Charter School (District),35090000,221,13.1,5.4,209,91.9,2015-16
Arlington,00100000,"5,496",7.6,5.2,"5,315",95.7,2015-16
Ashburnham-Westminster,06100000,"2,428",5.6,3.6,"2,363",97.0,2015-16
Ashland,00140000,"2,782",6.0,3.4,"2,714",96.4,2015-16
Assabet Valley Regional Vocational Technical,08010000,"1,086",4.0,1.1,"1,083",96.3,2015-16
Athol-Royalston,06150000,"1,524",13.5,6.8,"1,453",91.1,2015-16
Atlantis Charter (District),04910000,"1,051",5.9,3.6,"1,034",95.6,2015-16
Attleboro,00160000,"6,189",10.2,5.9,"5,961",93.9,2015-16
Auburn,00170000,"2,519",6.6,5.0,"2,458",95.8,2015-16
Avon,00180000,762,9.3,3.8,743,93.0,2015-16
Ayer Shirley School District,06160000,"1,779",9.7,5.3,"1,708",94.0,2015-16
Barnstable,00200000,"5,270",14.9,9.9,"4,966",90.5,2015-16
Barnstable Community Horace Mann Charter Public (District),04270000,292,2.7,1.4,290,97.9,2015-16
Baystate Academy Charter Public School (District),35020000,327,29.7,24.8,313,73.5,2015-16
Bedford,00230000,"2,619",6.4,4.0,"2,548",96.2,2015-16
Belchertown,00240000,"2,425",5.5,3.7,"2,360",97.1,2015-16
Bellingham,00250000,"2,359",7.0,4.2,"2,281",96.3,2015-16
Belmont,00260000,"4,468",4.8,3.0,"4,370",97.3,2015-16
Benjamin Banneker Charter Public (District),04200000,363,11.0,6.1,359,90.0,2015-16
Benjamin Franklin Classical Charter Public (District),04470000,453,4.6,3.1,448,96.4,2015-16
Bentley Academy Charter School (District),35110000,257,14.0,7.4,254,87.0,2015-16
Berkley,00270000,944,7.7,7.3,908,95.9,2015-16
Berkshire Arts and Technology Charter Public (District),04140000,362,9.7,4.4,355,92.1,2015-16
Berkshire Hills,06180000,"1,351",7.1,4.1,"1,307",96.0,2015-16
Berlin,00280000,196,16.8,11.7,187,87.2,2015-16
Berlin-Boylston,06200000,571,3.2,2.1,565,97.9,2015-16
Beverly,00300000,"4,690",7.6,4.7,"4,527",96.0,2015-16
Billerica,00310000,"5,114",6.8,4.8,"4,994",95.6,2015-16
Blackstone Valley Regional Vocational Technical,08050000,"1,203",3.0,1.5,"1,202",97.1,2015-16
Blackstone-Millville,06220000,"1,802",6.4,4.1,"1,744",96.7,2015-16
Blue Hills Regional Vocational Technical,08060000,885,3.1,1.6,883,97.2,2015-16
Boston,00350000,"57,684",21.0,15.7,"53,647",86.6,2015-16
Boston Collegiate Charter (District),04490000,723,7.5,2.9,713,93.8,2015-16
Boston Day and Evening Academy Charter (District),04240000,488,55.9,33.2,387,55.6,2015-16
Boston Green Academy Horace Mann Charter School (District),04110000,484,40.7,33.7,465,61.7,2015-16
Boston Preparatory Charter Public (District),04160000,424,9.4,5.4,418,91.9,2015-16
Boston Renaissance Charter Public (District),04810000,971,5.0,2.0,959,96.1,2015-16
Bourne,00360000,"2,119",17.5,13.5,"1,960",89.3,2015-16
Boxford,00380000,749,2.4,1.7,737,99.2,2015-16
Boylston,00390000,308,2.9,1.9,305,98.0,2015-16
Braintree,00400000,"5,937",6.6,4.3,"5,765",96.4,2015-16
Brewster,00410000,517,7.4,5.6,492,97.4,2015-16
Bridge Boston Charter School (District),04170000,232,8.2,7.3,223,95.5,2015-16
Bridgewater-Raynham,06250000,"5,459",6.2,4.6,"5,305",96.7,2015-16
Brimfield,00430000,313,12.5,8.0,288,95.1,2015-16
Bristol County Agricultural,09100000,469,3.2,0.9,469,96.8,2015-16
Bristol-Plymouth Regional Vocational Technical,08100000,"1,307",3.6,1.1,"1,306",96.5,2015-16
Brockton,00440000,"18,179",15.2,10.4,"17,162",91.4,2015-16
Brooke Charter School East Boston (District),04570000,506,5.7,4.5,502,95.0,2015-16
Brooke Charter School Mattapan (District),04430000,495,4.0,2.0,492,96.5,2015-16
Brooke Charter School Roslindale (District),04280000,516,3.5,2.1,512,97.3,2015-16
Brookfield,00450000,340,8.2,3.8,330,94.5,2015-16
Brookline,00460000,"7,992",8.9,5.1,"7,698",94.6,2015-16
Burlington,00480000,"3,636",8.1,5.7,"3,521",95.0,2015-16
Cambridge,00490000,"6,912",10.5,6.6,"6,617",94.1,2015-16
Canton,00500000,"3,415",6.4,3.7,"3,318",96.4,2015-16
Cape Cod Lighthouse Charter (District),04320000,243,3.7,2.1,240,97.5,2015-16
Cape Cod Regional Vocational Technical,08150000,655,9.8,4.3,634,93.2,2015-16
Carlisle,00510000,623,4.7,2.7,609,97.5,2015-16
Carver,00520000,"1,698",6.7,3.7,"1,646",96.3,2015-16
Central Berkshire,06350000,"1,689",7.6,4.4,"1,631",95.8,2015-16
Chelmsford,00560000,"5,179",6.5,3.7,"5,017",96.7,2015-16
Chelsea,00570000,"6,949",16.5,9.3,"6,503",89.3,2015-16
Chesterfield-Goshen,06320000,157,1.9,1.9,155,99.4,2015-16
Chicopee,00610000,"8,157",13.3,7.2,"7,753",92.2,2015-16
Christa McAuliffe Charter Public (District),04180000,408,8.8,5.4,404,92.1,2015-16
City on a Hill Charter Public School Circuit Street (District),04370000,291,7.6,1.7,288,93.4,2015-16
City on a Hill Charter Public School Dudley Square (District),35040000,256,17.2,7.4,247,85.8,2015-16
City on a Hill Charter Public School New Bedford (District),35070000,153,26.8,9.2,143,78.3,2015-16
Clarksburg,00630000,163,3.1,0.6,163,96.9,2015-16
Clinton,00640000,"1,956",9.6,5.5,"1,878",94.1,2015-16
Codman Academy Charter Public (District),04380000,335,14.3,9.3,326,88.0,2015-16
Cohasset,00650000,"1,664",4.0,2.6,"1,638",97.5,2015-16
Community Charter School of Cambridge (District),04360000,412,4.1,1.0,411,96.1,2015-16
Community Day Charter Public School - Gateway (District),04260000,242,2.5,1.7,241,97.9,2015-16
Community Day Charter Public School - Prospect (District),04400000,407,5.7,3.2,403,95.3,2015-16
Community Day Charter Public School - R. Kingman Webster (District),04310000,246,5.3,3.3,240,97.1,2015-16
Concord,00670000,"2,148",4.4,2.9,"2,098",98.1,2015-16
Concord-Carlisle,06400000,"1,298",2.4,1.1,"1,292",98.1,2015-16
Conservatory Lab Charter (District),04390000,508,26.4,10.8,469,79.7,2015-16
Conway,00680000,161,5.6,3.7,156,97.4,2015-16
Danvers,00710000,"3,699",9.2,3.0,"3,614",93.1,2015-16
Dartmouth,00720000,"3,780",5.4,2.8,"3,703",96.7,2015-16
Dedham,00730000,"2,824",6.7,5.1,"2,754",95.7,2015-16
Deerfield,00740000,426,8.2,7.3,413,94.7,2015-16
Dennis-Yarmouth,06450000,"3,286",13.4,8.8,"3,109",91.7,2015-16
Dighton-Rehoboth,06500000,"2,943",4.2,2.2,"2,917",96.7,2015-16
Dorchester Collegiate Academy Charter (District),04750000,214,17.8,13.1,211,83.4,2015-16
Douglas,00770000,"1,504",5.0,3.2,"1,476",96.8,2015-16
Dover,00780000,489,4.7,3.5,475,98.1,2015-16
Dover-Sherborn,06550000,"1,197",2.4,1.2,"1,187",98.4,2015-16
Dracut,00790000,"3,721",7.4,4.1,"3,619",95.3,2015-16
Dudley Street Neighborhood Charter School (District),04070000,279,21.9,17.9,258,84.5,2015-16
Dudley-Charlton Reg,06580000,"4,107",6.1,3.6,"3,997",96.6,2015-16
Duxbury,00820000,"3,265",2.8,1.8,"3,220",98.6,2015-16
East Bridgewater,00830000,"2,352",4.5,2.7,"2,303",97.6,2015-16
East Longmeadow,00870000,"2,691",3.1,1.7,"2,656",98.2,2015-16
Eastham,00850000,183,7.1,3.8,178,95.5,2015-16
Easthampton,00860000,"1,610",10.3,7.1,"1,539",93.9,2015-16
Easton,00880000,"3,802",4.2,2.6,"3,734",97.6,2015-16
Edgartown,00890000,374,12.8,10.4,346,94.2,2015-16
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,348,8.3,4.6,341,93.5,2015-16
Erving,00910000,141,12.1,8.5,136,91.2,2015-16
Essex North Shore Agricultural and Technical School District,08170000,"1,223",2.9,1.1,"1,222",97.1,2015-16
Everett,00930000,"7,869",18.2,9.7,"7,361",88.3,2015-16
Excel Academy Charter (District),04100000,800,7.0,6.3,786,94.7,2015-16
Fairhaven,00940000,"2,107",7.6,4.8,"2,041",95.4,2015-16
Fall River,00950000,"10,851",16.1,8.3,"10,205",91.7,2015-16
Falmouth,00960000,"3,664",8.2,5.0,"3,530",95.6,2015-16
Farmington River Reg,06620000,135,17.8,8.9,124,89.5,2015-16
Fitchburg,00970000,"5,720",20.6,13.1,"5,237",87.7,2015-16
Florida,00980000,93,15.1,9.7,87,90.8,2015-16
Four Rivers Charter Public (District),04130000,223,5.8,2.2,218,96.3,2015-16
Foxborough,00990000,"2,712",6.0,3.1,"2,660",95.8,2015-16
Foxborough Regional Charter (District),04460000,"1,286",8.4,5.2,"1,264",93.2,2015-16
Framingham,01000000,"9,060",12.6,8.2,"8,571",92.6,2015-16
Francis W. Parker Charter Essential (District),04780000,406,4.2,2.5,401,97.0,2015-16
