district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Gardner,01030000,250,11.1,141,6.3,475,21,1506,66.9,NA,NA,NA,NA,1645,72.7,NA,NA,2021-22
Gateway,06720000,26,3.5,11,1.5,174,23.6,336,45.8,NA,NA,NA,NA,423,57.4,NA,NA,2021-22
Georgetown,01050000,21,1.6,0,0,246,19,192,15,NA,NA,NA,NA,386,29.9,NA,NA,2021-22
Gill-Montague,06740000,86,10.2,55,6.5,231,27,509,60.2,NA,NA,NA,NA,594,69.3,NA,NA,2021-22
Global Learning Charter Public (District),04960000,221,43.8,49,9.7,59,11.7,362,71.8,NA,NA,NA,NA,399,79.2,NA,NA,2021-22
Gloucester,01070000,341,12,238,8.4,729,25.4,1368,48.3,NA,NA,NA,NA,1731,60.3,NA,NA,2021-22
Gosnold,01090000,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,2021-22
Grafton,01100000,138,4.4,77,2.5,596,18.8,611,19.5,NA,NA,NA,NA,1063,33.6,NA,NA,2021-22
Granby,01110000,48,6.9,26,3.7,140,19.9,251,36,NA,NA,NA,NA,319,45.4,NA,NA,2021-22
Greater Commonwealth Virtual District,39010000,81,7.9,18,1.7,232,22.5,594,57.7,NA,NA,NA,NA,680,66,NA,NA,2021-22
Greater Fall River Regional Vocational Technical,08210000,116,8.2,18,1.3,146,10.3,704,49.5,NA,NA,NA,NA,780,54.9,NA,NA,2021-22
Greater Lawrence Regional Vocational Technical,08230000,567,34.3,135,8.2,239,14.4,1168,70.6,NA,NA,NA,NA,1304,78.8,NA,NA,2021-22
Greater Lowell Regional Vocational Technical,08280000,563,24.5,210,9.1,381,16.6,1334,58,NA,NA,NA,NA,1574,68.4,NA,NA,2021-22
Greater New Bedford Regional Vocational Technical,08250000,386,18.3,99,4.7,226,10.7,1122,53.2,NA,NA,NA,NA,1275,60.4,NA,NA,2021-22
Greenfield,01140000,137,8.5,77,4.8,333,20.4,1026,64,NA,NA,NA,NA,1122,68.9,NA,NA,2021-22
Groton-Dunstable,06730000,60,2.6,28,1.2,370,15.8,266,11.5,NA,NA,NA,NA,595,25.4,NA,NA,2021-22
Hadley,01170000,27,5.3,19,3.7,79,15.5,146,28.7,NA,NA,NA,NA,198,38.7,NA,NA,2021-22
Halifax,01180000,9,1.6,4,0.7,108,18.6,147,26.1,NA,NA,NA,NA,227,39,NA,NA,2021-22
Hamilton-Wenham,06750000,45,2.7,16,1,334,19.4,179,10.6,NA,NA,NA,NA,474,27.5,NA,NA,2021-22
Hampden Charter School of Science East (District),04990000,42,7.6,27,4.9,60,10.8,356,64.3,NA,NA,NA,NA,380,68.6,NA,NA,2021-22
Hampden Charter School of Science West (District),35160000,51,13.9,31,8.4,65,17.7,231,62.8,NA,NA,NA,NA,258,70.1,NA,NA,2021-22
Hampden-Wilbraham,06800000,99,3.4,37,1.3,486,16.7,675,23.4,NA,NA,NA,NA,1003,34.4,NA,NA,2021-22
Hampshire,06830000,19,2.8,13,1.9,157,22.5,145,21.2,NA,NA,NA,NA,248,35.6,NA,NA,2021-22
Hancock,01210000,1,1.8,0,0,12,21.1,20,35.1,NA,NA,NA,NA,25,43.9,NA,NA,2021-22
Hanover,01220000,106,4.1,32,1.2,530,20.2,286,11,NA,NA,NA,NA,743,28.3,NA,NA,2021-22
Harvard,01250000,57,5.6,7,0.7,118,11.2,85,8.3,NA,NA,NA,NA,208,19.8,NA,NA,2021-22
Hatfield,01270000,5,1.3,1,0.3,106,26.9,93,23.8,NA,NA,NA,NA,164,41.6,NA,NA,2021-22
Haverhill,01280000,1634,21.1,786,10.2,1794,22.9,4855,62.7,NA,NA,NA,NA,5532,70.8,NA,NA,2021-22
Hawlemont,06850000,6,4.9,6,4.9,32,26,65,52.8,NA,NA,NA,NA,74,60.2,NA,NA,2021-22
Helen Y. Davis Leadership Academy Charter Public (District),04190000,6,4.3,3,2.2,22,15.9,118,85.5,NA,NA,NA,NA,122,88.4,NA,NA,2021-22
Hill View Montessori Charter Public (District),04550000,40,13.1,15,4.9,60,19.6,114,37.3,NA,NA,NA,NA,168,54.9,NA,NA,2021-22
Hilltown Cooperative Charter Public (District),04500000,2,0.9,0,0,31,14.3,42,19.4,NA,NA,NA,NA,58,26.7,NA,NA,2021-22
Hingham,01310000,96,2.5,15,0.4,604,15.5,320,8.3,NA,NA,NA,NA,847,21.7,NA,NA,2021-22
Holbrook,01330000,276,21.5,82,6.4,267,20.4,581,45.2,NA,NA,NA,NA,770,58.7,NA,NA,2021-22
Holland,01350000,0,0,0,0,23,10.1,98,43.4,NA,NA,NA,NA,108,47.6,NA,NA,2021-22
Holliston,01360000,334,11.9,62,2.2,469,16.5,324,11.5,NA,NA,NA,NA,783,27.5,NA,NA,2021-22
Holyoke,01370000,1875,36.8,976,19.1,1483,28.6,4415,86.5,NA,NA,NA,NA,4674,90,NA,NA,2021-22
Holyoke Community Charter (District),04530000,215,32.9,78,11.9,128,19.6,558,85.5,NA,NA,NA,NA,583,89.3,NA,NA,2021-22
Hoosac Valley Regional,06030000,11,1.1,7,0.7,249,24.7,618,61.3,NA,NA,NA,NA,675,66.8,NA,NA,2021-22
Hopedale,01380000,111,10,57,5.1,217,19.2,252,22.6,NA,NA,NA,NA,419,37,NA,NA,2021-22
Hopkinton,01390000,765,19.1,278,6.9,501,12.4,317,7.9,NA,NA,NA,NA,1153,28.6,NA,NA,2021-22
Hudson,01410000,689,29.5,325,13.9,432,18.3,885,37.9,NA,NA,NA,NA,1214,51.3,NA,NA,2021-22
Hull,01420000,10,1.2,8,1,179,21.8,292,36.3,NA,NA,NA,NA,391,47.6,NA,NA,2021-22
Innovation Academy Charter (District),04350000,77,9.9,23,3,183,23.6,213,27.4,NA,NA,NA,NA,343,44.2,NA,NA,2021-22
Ipswich,01440000,96,5.9,30,1.8,307,18.7,333,20.5,NA,NA,NA,NA,552,33.5,NA,NA,2021-22
King Philip,06900000,46,2.5,6,0.3,334,17.5,286,15.3,NA,NA,NA,NA,539,28.3,NA,NA,2021-22
Kingston,01450000,49,4.7,42,4,202,18.9,253,24.2,NA,NA,NA,NA,398,37.3,NA,NA,2021-22
KIPP Academy Boston Charter School (District),04630000,297,49.5,110,18.3,117,19.5,482,80.3,NA,NA,NA,NA,527,87.8,NA,NA,2021-22
KIPP Academy Lynn Charter (District),04290000,1306,80.9,215,13.3,186,11.5,1164,72.1,NA,NA,NA,NA,1280,79.3,NA,NA,2021-22
Lawrence,01490000,9173,71.7,4697,36.7,2425,18.9,11359,88.8,NA,NA,NA,NA,12103,94.1,NA,NA,2021-22
Lawrence Family Development Charter (District),04540000,613,77,208,26.1,61,7.7,669,84,NA,NA,NA,NA,719,90.3,NA,NA,2021-22
Learning First Charter Public School (District),04860000,359,53.5,175,26.1,91,13.6,557,83,NA,NA,NA,NA,598,89.1,NA,NA,2021-22
Lee,01500000,46,7,24,3.6,113,17,302,45.8,NA,NA,NA,NA,358,54,NA,NA,2021-22
Leicester,01510000,134,9.6,60,4.3,266,18.9,524,37.7,NA,NA,NA,NA,679,48.2,NA,NA,2021-22
Lenox,01520000,55,7.6,17,2.4,72,10,185,25.6,NA,NA,NA,NA,238,32.9,NA,NA,2021-22
Leominster,01530000,1754,29.7,800,13.5,1380,23,3419,57.8,NA,NA,NA,NA,4084,68.1,NA,NA,2021-22
Leverett,01540000,0,0,0,0,20,13.9,40,27.8,NA,NA,NA,NA,53,36.8,NA,NA,2021-22
Lexington,01550000,2296,33.8,569,8.4,978,14.2,582,8.6,NA,NA,NA,NA,2232,32.4,NA,NA,2021-22
Libertas Academy Charter School (District),35140000,89,26.8,89,26.8,75,22.6,293,88.3,NA,NA,NA,NA,304,91.6,NA,NA,2021-22
Lincoln,01570000,106,9.9,48,4.5,209,19.2,120,11.3,NA,NA,NA,NA,335,30.7,NA,NA,2021-22
Lincoln-Sudbury,06950000,78,5.2,9,0.6,346,22.1,144,9.5,NA,NA,NA,NA,442,28.2,NA,NA,2021-22
Littleton,01580000,126,7.7,30,1.8,272,16.3,181,11,NA,NA,NA,NA,450,27,NA,NA,2021-22
Longmeadow,01590000,200,7.2,17,0.6,536,19,346,12.4,NA,NA,NA,NA,812,28.8,NA,NA,2021-22
Lowell,01600000,5137,36.7,3682,26.3,2624,18.6,10495,75,NA,NA,NA,NA,11857,84.1,NA,NA,2021-22
Lowell Community Charter Public (District),04560000,612,74.5,463,56.3,120,14.6,600,73,NA,NA,NA,NA,719,87.5,NA,NA,2021-22
Lowell Middlesex Academy Charter (District),04580000,4,5.4,2,2.7,22,29.7,59,79.7,NA,NA,NA,NA,67,90.5,NA,NA,2021-22
Ludlow,01610000,233,10.2,119,5.2,410,17.7,908,39.6,NA,NA,NA,NA,1151,49.7,NA,NA,2021-22
Lunenburg,01620000,87,5.4,22,1.4,227,14.1,409,25.6,NA,NA,NA,NA,556,34.6,NA,NA,2021-22
Lynn,01630000,10104,64.2,5716,36.3,2781,17.5,11995,76.3,NA,NA,NA,NA,13611,85.8,NA,NA,2021-22
Lynnfield,01640000,186,8.6,58,2.7,387,17.7,233,10.8,NA,NA,NA,NA,601,27.5,NA,NA,2021-22
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,3,3.3,NA,NA,NA,NA,4,4.4,NA,NA,2021-22
Malden,01650000,3491,57.2,1116,18.3,1074,17.4,3977,65.2,NA,NA,NA,NA,4725,76.5,NA,NA,2021-22
Manchester Essex Regional,06980000,33,2.6,11,0.9,225,17.7,169,13.5,NA,NA,NA,NA,364,28.6,NA,NA,2021-22
Mansfield,01670000,221,6.4,68,2,567,16.4,752,21.9,NA,NA,NA,NA,1164,33.6,NA,NA,2021-22
Map Academy Charter School (District),35170000,0,0,0,0,121,54.3,145,65,NA,NA,NA,NA,178,79.8,NA,NA,2021-22
Marblehead,01680000,217,8.3,122,4.7,600,22.7,361,13.9,NA,NA,NA,NA,891,33.6,NA,NA,2021-22
Marblehead Community Charter Public (District),04640000,18,8,14,6.2,63,28,49,21.8,NA,NA,NA,NA,113,50.2,NA,NA,2021-22
Marion,01690000,5,1.2,1,0.2,83,20.1,118,29.1,NA,NA,NA,NA,173,42,NA,NA,2021-22
Marlborough,01700000,2510,54.1,1218,26.2,766,16.3,2672,57.5,NA,NA,NA,NA,3384,72.1,NA,NA,2021-22
Marshfield,01710000,147,3.8,70,1.8,750,19.4,737,19.3,NA,NA,NA,NA,1282,33.2,NA,NA,2021-22
Martha's Vineyard,07000000,190,26.9,62,8.8,145,20.2,309,43.8,NA,NA,NA,NA,423,58.8,NA,NA,2021-22
Martha's Vineyard Charter (District),04660000,6,3.6,6,3.6,44,26.7,89,53.9,NA,NA,NA,NA,107,64.8,NA,NA,2021-22
Martin Luther King Jr. Charter School of Excellence (District),04920000,112,32,88,25.1,49,14,308,88,NA,NA,NA,NA,326,93.1,NA,NA,2021-22
Masconomet,07050000,18,1.1,4,0.2,321,19,172,10.5,NA,NA,NA,NA,450,26.6,NA,NA,2021-22
Mashpee,01720000,158,10.8,70,4.8,226,15.3,656,45,NA,NA,NA,NA,773,52.4,NA,NA,2021-22
Match Charter Public School (District),04690000,673,54.9,213,17.4,267,21.8,964,78.7,NA,NA,NA,NA,1071,87.4,NA,NA,2021-22
Mattapoisett,01730000,2,0.5,1,0.2,72,16.3,113,25.9,NA,NA,NA,NA,156,35.4,NA,NA,2021-22
Maynard,01740000,148,12.5,68,5.7,220,18.2,322,27.2,NA,NA,NA,NA,485,40.1,NA,NA,2021-22
Medfield,01750000,91,3.6,32,1.3,331,13,223,8.8,NA,NA,NA,NA,523,20.5,NA,NA,2021-22
Medford,01760000,1078,26.8,417,10.4,821,20.2,1628,40.5,NA,NA,NA,NA,2187,53.9,NA,NA,2021-22
Medway,01770000,63,3,48,2.3,327,15.3,295,14,NA,NA,NA,NA,568,26.6,NA,NA,2021-22
Melrose,01780000,532,14.2,201,5.4,633,16.7,603,16.1,NA,NA,NA,NA,1193,31.5,NA,NA,2021-22
Mendon-Upton,07100000,122,5.7,55,2.6,366,16.9,303,14.2,NA,NA,NA,NA,633,29.2,NA,NA,2021-22
Methuen,01810000,1830,28.4,858,13.3,1293,19.6,3454,53.6,NA,NA,NA,NA,4259,64.7,NA,NA,2021-22
Middleborough,01820000,85,2.8,45,1.5,564,18.6,1249,41.5,NA,NA,NA,NA,1514,49.8,NA,NA,2021-22
Middleton,01840000,38,5.4,21,3,118,16.6,86,12.1,NA,NA,NA,NA,201,28.3,NA,NA,2021-22
Milford,01850000,1976,45.9,1131,26.2,747,17.1,2363,54.8,NA,NA,NA,NA,2876,65.9,NA,NA,2021-22
Millbury,01860000,139,8.7,60,3.7,316,19.5,567,35.4,NA,NA,NA,NA,776,47.9,NA,NA,2021-22
Millis,01870000,75,6.4,24,2,169,14.2,221,18.8,NA,NA,NA,NA,355,29.9,NA,NA,2021-22
Milton,01890000,438,10.1,118,2.7,748,17,630,14.5,NA,NA,NA,NA,1288,29.3,NA,NA,2021-22
Minuteman Regional Vocational Technical,08300000,28,4.3,2,0.3,267,40.8,150,22.9,NA,NA,NA,NA,355,54.2,NA,NA,2021-22
Mohawk Trail,07170000,7,0.9,6,0.8,169,21.9,369,48.4,NA,NA,NA,NA,438,56.8,NA,NA,2021-22
Monomoy Regional School District,07120000,171,9.7,75,4.3,312,17.6,702,39.8,NA,NA,NA,NA,862,48.6,NA,NA,2021-22
Monson,01910000,19,2.3,5,0.6,186,21.8,353,42.1,NA,NA,NA,NA,450,52.8,NA,NA,2021-22
Montachusett Regional Vocational Technical,08320000,77,5.4,9,0.6,216,15.3,522,36.9,NA,NA,NA,NA,671,47.5,NA,NA,2021-22
Mount Greylock,07150000,22,1.9,17,1.5,160,13.8,303,26.3,NA,NA,NA,NA,397,34.3,NA,NA,2021-22
Mystic Valley Regional Charter (District),04700000,759,47.9,34,2.1,169,10.7,511,32.2,NA,NA,NA,NA,658,41.5,NA,NA,2021-22
Nahant,01960000,1,0.6,0,0,23,14,40,24.4,NA,NA,NA,NA,55,33.5,NA,NA,2021-22
Nantucket,01970000,720,43.1,251,15,289,17.2,706,42.2,NA,NA,NA,NA,989,58.8,NA,NA,2021-22
Narragansett,07200000,28,2,7,0.5,275,19.5,589,42.3,NA,NA,NA,NA,717,50.8,NA,NA,2021-22
Nashoba,07250000,269,8.7,80,2.6,544,17.5,413,13.4,NA,NA,NA,NA,898,28.9,NA,NA,2021-22
Nashoba Valley Regional Vocational Technical,08520000,22,3,3,0.4,238,32.3,237,32.2,NA,NA,NA,NA,401,54.5,NA,NA,2021-22
Natick,01980000,609,11.5,182,3.4,886,16.5,714,13.5,NA,NA,NA,NA,1566,29.1,NA,NA,2021-22
Nauset,06600000,79,5.8,22,1.6,276,20,456,33.4,NA,NA,NA,NA,612,44.3,NA,NA,2021-22
Needham,01990000,611,11.1,177,3.2,1002,17.9,465,8.4,NA,NA,NA,NA,1532,27.4,NA,NA,2021-22
Neighborhood House Charter (District),04440000,173,22.6,71,9.3,173,22.6,485,63.5,NA,NA,NA,NA,569,74.5,NA,NA,2021-22
New Bedford,02010000,5278,42.2,3202,25.6,2796,22.2,10318,82.5,NA,NA,NA,NA,11181,88.7,NA,NA,2021-22
New Heights Charter School of Brockton (District),35130000,153,20.6,109,14.7,69,9.3,478,64.2,NA,NA,NA,NA,552,74.2,NA,NA,2021-22
New Salem-Wendell,07280000,0,0,0,0,29,22.3,58,44.6,NA,NA,NA,NA,68,52.3,NA,NA,2021-22
Newburyport,02040000,138,6.4,51,2.4,452,20.7,286,13.3,NA,NA,NA,NA,664,30.4,NA,NA,2021-22
Newton,02070000,3402,28.4,669,5.6,2173,18,1592,13.3,NA,NA,NA,NA,4078,33.7,NA,NA,2021-22
Norfolk,02080000,49,4.8,22,2.1,182,17.6,75,7.3,NA,NA,NA,NA,258,25,NA,NA,2021-22
Norfolk County Agricultural,09150000,2,0.3,2,0.3,142,24.1,140,23.8,NA,NA,NA,NA,250,42.5,NA,NA,2021-22
North Adams,02090000,18,1.4,14,1.1,327,25.8,941,74.9,NA,NA,NA,NA,996,78.7,NA,NA,2021-22
North Andover,02110000,524,11.7,105,2.3,868,19.1,1050,23.4,NA,NA,NA,NA,1675,36.9,NA,NA,2021-22
North Attleborough,02120000,400,10.1,97,2.4,747,18.7,1000,25.2,NA,NA,NA,NA,1547,38.7,NA,NA,2021-22
North Brookfield,02150000,8,1.8,5,1.1,106,23.1,239,52.6,NA,NA,NA,NA,292,63.8,NA,NA,2021-22
North Middlesex,07350000,89,3,51,1.7,709,23.3,875,29.3,NA,NA,NA,NA,1353,44.5,NA,NA,2021-22
North Reading,02170000,48,2.1,13,0.6,441,18.8,284,12.2,NA,NA,NA,NA,647,27.6,NA,NA,2021-22
Northampton,02100000,268,10.2,146,5.6,586,22.2,822,31.4,NA,NA,NA,NA,1134,43,NA,NA,2021-22
Northampton-Smith Vocational Agricultural,04060000,24,4.4,20,3.7,220,40.2,227,41.5,NA,NA,NA,NA,347,63.4,NA,NA,2021-22
Northboro-Southboro,07300000,193,15.2,27,2.1,200,15.7,160,12.6,NA,NA,NA,NA,336,26.3,NA,NA,2021-22
Northborough,02130000,325,21,80,5.2,330,21,307,19.8,NA,NA,NA,NA,601,38.3,NA,NA,2021-22
Northbridge,02140000,97,4.9,44,2.2,382,19.1,797,40.4,NA,NA,NA,NA,999,50,NA,NA,2021-22
Northeast Metropolitan Regional Vocational Technical,08530000,247,18.9,47,3.6,327,25,684,52.3,NA,NA,NA,NA,874,66.9,NA,NA,2021-22
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,77,14.7,232,44.4,NA,NA,NA,NA,268,51.2,NA,NA,2021-22
Norton,02180000,69,2.9,51,2.1,522,21.7,649,27.3,NA,NA,NA,NA,983,40.9,NA,NA,2021-22
Norwell,02190000,41,1.9,9,0.4,356,16.1,136,6.2,NA,NA,NA,NA,464,21,NA,NA,2021-22
Norwood,02200000,926,26.9,439,12.7,781,22.3,1381,40.1,NA,NA,NA,NA,1945,55.6,NA,NA,2021-22
Oak Bluffs,02210000,135,31.6,93,21.8,95,22.1,193,45.2,NA,NA,NA,NA,268,62.5,NA,NA,2021-22
Old Colony Regional Vocational Technical,08550000,0,0,0,0,122,21.7,152,27,NA,NA,NA,NA,232,41.2,NA,NA,2021-22
Old Rochester,07400000,19,1.7,2,0.2,160,14.7,235,21.6,NA,NA,NA,NA,336,30.9,NA,NA,2021-22
Old Sturbridge Academy Charter Public School (District),35150000,17,5.3,12,3.8,63,19.7,140,43.8,NA,NA,NA,NA,178,55.6,NA,NA,2021-22
Orange,02230000,9,1.7,8,1.5,141,26.1,401,74.8,NA,NA,NA,NA,431,79.7,NA,NA,2021-22
Orleans,02240000,13,7.9,9,5.5,29,17.7,75,45.7,NA,NA,NA,NA,89,54.3,NA,NA,2021-22
Oxford,02260000,38,2.6,28,1.9,294,19.8,666,45.4,NA,NA,NA,NA,790,53.1,NA,NA,2021-22
Palmer,02270000,74,6.2,54,4.6,243,20.2,697,58.8,NA,NA,NA,NA,782,65.1,NA,NA,2021-22
Pathfinder Regional Vocational Technical,08600000,1,0.2,1,0.2,173,27.5,289,45.9,NA,NA,NA,NA,379,60.3,NA,NA,2021-22
Paulo Freire Social Justice Charter School (District),35010000,62,25.5,12,4.9,50,20.6,220,90.5,NA,NA,NA,NA,224,92.2,NA,NA,2021-22
Peabody,02290000,1080,18.4,577,9.8,1223,20.5,2724,46.3,NA,NA,NA,NA,3497,58.5,NA,NA,2021-22
Pelham,02300000,9,7.7,2,1.7,20,17.1,19,16.2,NA,NA,NA,NA,37,31.6,NA,NA,2021-22
Pembroke,02310000,74,2.9,46,1.8,436,16.8,478,18.7,NA,NA,NA,NA,824,31.8,NA,NA,2021-22
Pentucket,07450000,22,1,7,0.3,509,22.8,357,16.2,NA,NA,NA,NA,735,32.9,NA,NA,2021-22
Petersham,02340000,2,1.8,1,0.9,23,20.2,44,38.9,NA,NA,NA,NA,57,50,NA,NA,2021-22
Phoenix Academy Charter Public High School Chelsea (District),04930000,146,78.9,117,63.2,20,10.8,164,88.6,NA,NA,NA,NA,179,96.8,NA,NA,2021-22
Phoenix Academy Public Charter High School Lawrence (District),35180000,81,58.7,33,23.9,38,27.5,126,91.3,NA,NA,NA,NA,134,97.1,NA,NA,2021-22
Phoenix Academy Public Charter High School Springfield (District),35080000,46,26.3,25,14.3,43,24.6,157,89.7,NA,NA,NA,NA,161,92,NA,NA,2021-22
Pioneer Charter School of Science (District),04940000,496,64,163,21,64,8.3,461,59.5,NA,NA,NA,NA,586,75.6,NA,NA,2021-22
Pioneer Charter School of Science II (District),35060000,170,45.2,45,12,46,12.2,187,49.7,NA,NA,NA,NA,247,65.7,NA,NA,2021-22
Pioneer Valley,07500000,14,2.1,8,1.2,121,18.3,248,37.7,NA,NA,NA,NA,309,46.7,NA,NA,2021-22
Pioneer Valley Chinese Immersion Charter (District),04970000,120,21,11,1.9,67,11.7,152,26.6,NA,NA,NA,NA,212,37.1,NA,NA,2021-22
Pioneer Valley Performing Arts Charter Public (District),04790000,0,0,0,0,88,22,163,40.8,NA,NA,NA,NA,197,49.3,NA,NA,2021-22
Pittsfield,02360000,454,9.2,278,5.6,1068,21.4,3343,67.5,NA,NA,NA,NA,3643,72.8,NA,NA,2021-22
Plainville,02380000,37,5.6,27,4.1,140,21.1,193,29.4,NA,NA,NA,NA,288,43.5,NA,NA,2021-22
Plymouth,02390000,420,5.8,259,3.6,1532,21.1,2470,34.3,NA,NA,NA,NA,3384,46.5,NA,NA,2021-22
Plympton,02400000,6,2.5,5,2.1,38,15.5,59,24.5,NA,NA,NA,NA,86,35.1,NA,NA,2021-22
Prospect Hill Academy Charter (District),04870000,484,44.2,181,16.5,168,15.3,729,66.5,NA,NA,NA,NA,842,76.8,NA,NA,2021-22
Provincetown,02420000,35,24.8,24,17,28,19.9,78,55.3,NA,NA,NA,NA,95,67.4,NA,NA,2021-22
Quabbin,07530000,31,1.4,9,0.4,451,20,861,38.7,NA,NA,NA,NA,1075,47.7,NA,NA,2021-22
Quaboag Regional,07780000,41,3.6,18,1.6,231,20.1,564,49.4,NA,NA,NA,NA,656,56.9,NA,NA,2021-22
Quincy,02430000,4182,44.5,1434,15.2,1882,19.7,4723,50.2,NA,NA,NA,NA,6366,66.7,NA,NA,2021-22
Ralph C Mahar,07550000,9,1.6,3,0.5,149,25.9,320,57.5,NA,NA,NA,NA,370,64.2,NA,NA,2021-22
Randolph,02440000,981,38.2,423,16.5,568,21.7,1683,65.5,NA,NA,NA,NA,2039,77.9,NA,NA,2021-22
Reading,02460000,106,2.8,41,1.1,734,18.8,445,11.6,NA,NA,NA,NA,1049,26.9,NA,NA,2021-22
Revere,02480000,4792,67.1,1755,24.6,1240,17,5049,70.7,NA,NA,NA,NA,5907,81.1,NA,NA,2021-22
Richmond,02490000,1,0.6,0,0,29,18.5,54,34.4,NA,NA,NA,NA,72,45.9,NA,NA,2021-22
Rising Tide Charter Public (District),04830000,18,2.7,9,1.4,143,21.8,155,23.7,NA,NA,NA,NA,259,39.5,NA,NA,2021-22
River Valley Charter (District),04820000,1,0.3,0,0,40,13.9,28,9.7,NA,NA,NA,NA,61,21.2,NA,NA,2021-22
Rochester,02500000,3,0.6,3,0.6,94,18,122,23.6,NA,NA,NA,NA,183,35.1,NA,NA,2021-22
Rockland,02510000,336,15.9,188,8.9,386,18,1016,48,NA,NA,NA,NA,1229,57.2,NA,NA,2021-22
Rockport,02520000,15,2,5,0.7,165,21.6,213,28.5,NA,NA,NA,NA,335,43.8,NA,NA,2021-22
Rowe,02530000,0,0,0,0,23,35.4,37,56.9,NA,NA,NA,NA,46,70.8,NA,NA,2021-22
Roxbury Preparatory Charter (District),04840000,593,39,248,16.3,248,16.3,1220,80.2,NA,NA,NA,NA,1338,88,NA,NA,2021-22
Salem,02580000,1205,32.9,550,15,730,19.7,2313,63.1,NA,NA,NA,NA,2653,71.6,NA,NA,2021-22
Salem Academy Charter (District),04850000,125,25.3,14,2.8,86,17.4,267,53.9,NA,NA,NA,NA,299,60.4,NA,NA,2021-22
Sandwich,02610000,60,2.6,31,1.4,452,19.5,593,25.9,NA,NA,NA,NA,897,38.7,NA,NA,2021-22
Saugus,02620000,565,23.2,207,8.5,391,15.8,1142,46.9,NA,NA,NA,NA,1433,58,NA,NA,2021-22
Savoy,02630000,0,0,0,0,9,17.6,27,52.9,NA,NA,NA,NA,32,62.7,NA,NA,2021-22
Scituate,02640000,71,2.6,12,0.4,468,16.7,356,12.8,NA,NA,NA,NA,741,26.4,NA,NA,2021-22
Seekonk,02650000,148,7.1,44,2.1,382,18.1,408,19.7,NA,NA,NA,NA,725,34.4,NA,NA,2021-22
Sharon,02660000,919,26,108,3.1,555,15.5,457,12.9,NA,NA,NA,NA,1053,29.4,NA,NA,2021-22
Shawsheen Valley Regional Vocational Technical,08710000,21,1.6,0,0,363,27.6,295,22.4,NA,NA,NA,NA,554,42.1,NA,NA,2021-22
Sherborn,02690000,25,6.2,8,2,57,14.1,24,6,NA,NA,NA,NA,83,20.5,NA,NA,2021-22
Shrewsbury,02710000,2160,36.7,159,2.7,865,14.6,1062,18,NA,NA,NA,NA,1891,31.9,NA,NA,2021-22
Shutesbury,02720000,2,1.7,2,1.7,26,22.6,35,30.4,NA,NA,NA,NA,47,40.9,NA,NA,2021-22
Silver Lake,07600000,37,2.2,20,1.2,307,18.2,415,24.5,NA,NA,NA,NA,616,36.4,NA,NA,2021-22
Sizer School: A North Central Charter Essential (District),04740000,11,3.1,8,2.3,99,28.3,186,53.1,NA,NA,NA,NA,221,63.1,NA,NA,2021-22
Somerset,02730000,52,3.2,14,0.9,304,18.3,563,34.2,NA,NA,NA,NA,734,44.2,NA,NA,2021-22
Somerset Berkley Regional School District,07630000,23,2.3,2,0.2,171,16.9,251,25.2,NA,NA,NA,NA,352,34.8,NA,NA,2021-22
Somerville,02740000,2322,49.7,975,20.9,934,19.7,2497,53.4,NA,NA,NA,NA,3039,64.2,NA,NA,2021-22
South Hadley,02780000,140,7.9,78,4.4,318,17.8,640,36.3,NA,NA,NA,NA,845,47.4,NA,NA,2021-22
South Middlesex Regional Vocational Technical,08290000,326,38.4,140,16.5,321,37.8,507,59.6,NA,NA,NA,NA,685,80.6,NA,NA,2021-22
South Shore Charter Public (District),04880000,456,43.4,112,10.7,211,20.1,391,37.2,NA,NA,NA,NA,627,59.7,NA,NA,2021-22
South Shore Regional Vocational Technical,08730000,9,1.4,2,0.3,181,27.6,211,32.2,NA,NA,NA,NA,333,50.8,NA,NA,2021-22
Southampton,02750000,11,2.4,9,1.9,130,27.7,98,21,NA,NA,NA,NA,194,41.3,NA,NA,2021-22
Southborough,02760000,258,20.7,93,7.5,197,15.7,110,8.8,NA,NA,NA,NA,373,29.7,NA,NA,2021-22
Southbridge,02770000,641,35.5,352,19.5,432,23.5,1527,84.6,NA,NA,NA,NA,1655,90,NA,NA,2021-22
Southeastern Regional Vocational Technical,08720000,355,22.9,63,4.1,221,14.3,724,46.7,NA,NA,NA,NA,894,57.7,NA,NA,2021-22
Southern Berkshire,07650000,41,6.5,22,3.5,85,13.3,296,46.8,NA,NA,NA,NA,335,52.6,NA,NA,2021-22
Southern Worcester County Regional Vocational School District,08760000,49,4.2,12,1,171,14.6,421,35.9,NA,NA,NA,NA,515,43.9,NA,NA,2021-22
Southwick-Tolland-Granville Regional School District,07660000,73,5.4,47,3.5,222,16.3,498,36.6,NA,NA,NA,NA,613,44.9,NA,NA,2021-22
