district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Neighborhood House Charter (District),04440000,161,24.9,74,11.5,111,17.2,NA,NA,NA,NA,NA,NA,371,57.4,254,39.3,2018-19
New Bedford,02010000,5188,40.4,3685,28.7,2708,20.9,NA,NA,NA,NA,NA,NA,10408,80.3,8485,66.1,2018-19
New Heights Charter School of Brockton (District),35130000,61,11.5,57,10.7,54,10.2,NA,NA,NA,NA,NA,NA,290,54.5,213,40,2018-19
New Salem-Wendell,07280000,0,0,0,0,26,17.4,NA,NA,NA,NA,NA,NA,56,37.6,44,29.5,2018-19
Newburyport,02040000,110,4.9,38,1.7,387,17.1,NA,NA,NA,NA,NA,NA,539,23.8,182,8.2,2018-19
Newton,02070000,3237,25.1,840,6.5,2425,18.7,NA,NA,NA,NA,NA,NA,4351,33.5,1123,8.7,2018-19
Norfolk,02080000,40,4.2,20,2.1,176,18.2,NA,NA,NA,NA,NA,NA,238,24.6,49,5.1,2018-19
Norfolk County Agricultural,09150000,1,0.2,1,0.2,112,20.1,NA,NA,NA,NA,NA,NA,177,31.8,75,13.5,2018-19
North Adams,02090000,12,0.9,11,0.8,340,24.6,NA,NA,NA,NA,NA,NA,899,65.1,783,57.4,2018-19
North Andover,02110000,420,8.8,107,2.2,736,15.3,NA,NA,NA,NA,NA,NA,1363,28.3,698,14.6,2018-19
North Attleborough,02120000,347,8.4,127,3.1,672,16,NA,NA,NA,NA,NA,NA,1314,31.4,690,16.6,2018-19
North Brookfield,02150000,2,0.4,0,0,130,22.7,NA,NA,NA,NA,NA,NA,248,43.3,182,31.9,2018-19
North Middlesex,07350000,59,1.9,34,1.1,708,22.6,NA,NA,NA,NA,NA,NA,1095,35,530,17.3,2018-19
North Reading,02170000,30,1.3,13,0.5,472,19.4,NA,NA,NA,NA,NA,NA,612,25.2,186,7.8,2018-19
Northampton,02100000,247,9.4,98,3.7,570,21.5,NA,NA,NA,NA,NA,NA,1048,39.4,697,26.5,2018-19
Northampton-Smith Vocational Agricultural,04060000,22,4.4,8,1.6,193,39,NA,NA,NA,NA,NA,NA,277,56,163,32.9,2018-19
Northboro-Southboro,07300000,167,11.5,27,1.9,203,13.9,NA,NA,NA,NA,NA,NA,319,21.9,89,6.1,2018-19
Northborough,02130000,250,15.8,82,5.2,334,20.8,NA,NA,NA,NA,NA,NA,543,33.9,172,10.8,2018-19
Northbridge,02140000,97,4.7,50,2.4,322,15.3,NA,NA,NA,NA,NA,NA,821,39.1,611,29.4,2018-19
Northeast Metropolitan Regional Vocational Technical,08530000,208,16.7,43,3.4,287,23,NA,NA,NA,NA,NA,NA,654,52.4,418,33.5,2018-19
Northern Berkshire Regional Vocational Technical,08510000,1,0.2,0,0,86,17.3,NA,NA,NA,NA,NA,NA,206,41.5,158,31.9,2018-19
Norton,02180000,49,2,28,1.1,474,19.1,NA,NA,NA,NA,NA,NA,812,32.8,465,19.1,2018-19
Norwell,02190000,37,1.7,6,0.3,349,15.7,NA,NA,NA,NA,NA,NA,413,18.6,83,3.8,2018-19
Norwood,02200000,788,23,360,10.5,703,20.2,NA,NA,NA,NA,NA,NA,1555,44.7,805,23.5,2018-19
Oak Bluffs,02210000,93,21.4,77,17.7,89,20.5,NA,NA,NA,NA,NA,NA,216,49.7,102,23.4,2018-19
Old Colony Regional Vocational Technical,08550000,1,0.2,1,0.2,137,24.9,NA,NA,NA,NA,NA,NA,202,36.7,91,16.5,2018-19
Old Rochester,07400000,16,1.3,1,0.1,143,11.8,NA,NA,NA,NA,NA,NA,245,20.2,145,12,2018-19
Old Sturbridge Academy Charter Public School (District),35150000,13,6.5,13,6.5,28,14,NA,NA,NA,NA,NA,NA,88,44,62,31,2018-19
Orange,02230000,14,2.4,11,1.9,159,26.8,NA,NA,NA,NA,NA,NA,390,65.8,326,55.4,2018-19
Orleans,02240000,20,9.2,19,8.7,38,17.4,NA,NA,NA,NA,NA,NA,92,42.2,60,27.5,2018-19
Oxford,02260000,9,0.5,8,0.5,271,16.3,NA,NA,NA,NA,NA,NA,702,42.2,532,32.5,2018-19
Palmer,02270000,49,3.7,32,2.4,265,19.6,NA,NA,NA,NA,NA,NA,672,49.7,523,39.2,2018-19
